stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
4460,Diego Díaz,415,,,Diego de Vera,Perez Correa,-31.36226597795517,-64.20110316440994
4461,Diego Díaz,305,,,Perez Correa,Toledo de Pimentel,-31.36351034066499,-64.2027312401326
4668,Pasaje Garibaldi,5409,,,De los Sirios,De los Yugoslavos,-31.34185629587985,-64.23930487660677
4918,Jujuy,36,,,Dean Funes,9 de Julio,-31.41382449455598,-64.19053504959477
4919,Cno San Carlos,5394,,,,,-31.47624972167315,-64.16886231288234
4664,De los Alemanes,4685,,De los Españoles,De Los Franceses,De los Españoles,-31.36376159595617,-64.20704413089577
4665,De los Alemanes,4848,,,Los Argentinos,Los Polacos,-31.36349563725704,-64.20889706901826
4914,Valparaiso,5530,,,25 de Mayo,Nivoli,-31.47982244528387,-64.18873113640754
4667,De los Sirios,6306,,,Los Genoveses,Pasaje Garibaldi,-31.36649910587476,-64.21013864114681
4660,De los Alemanes,3676,,,De los Lombardos,Los Piamonteses,-31.34331946274746,-64.21831227363629
4661,De los Alemanes,3938,,,Los Irlandeses,Los Castellanos,-31.34330753571146,-64.22161693442234
4910,Valparaiso,6700,,,,,-31.4924106532009,-64.18943213694703
4663,De los Alemanes,4484,,Almogavares,Los Italianos,Almogavares,-31.3640760820562,-64.20508494572891
5173,Argandoña,2988,,,Tristan Narvaja,Ramon Ocampo,-31.42044133723709,-64.1452192798768
